Name,UOM,MRP,Selling Price,Quantity,Total MRP,Total SP,Image Url
paper boat apple,Piece,24,22,1,24,22,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
paper boat aamras,Piece,24,22,4,96,88,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
paper boat swing zesty,Piece,39,39,4,156,156,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
tutti frutti 200gm,Piece,40,35,3,120,105,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
tooti fruti,Piece,30,25,5,150,125,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Go cheese slices B1G1,Piece,190,95,3,570,285,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Brit.the laughing cow,Piece,150,129,1,150,129,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
go cheese cube,Piece,20,15,57,1140,855,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Trimurti sweet corn,Piece,115,99,1,115,99,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Go cheese slices B1G1,Piece,190,95,-2,-380,-190,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Amul Cheese,Piece,80,70,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Amul Butter 200gm,Piece,118,109,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
feelgud cube 500gm,Piece,100,70,131,13100,9170,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
feelgud powder 500gm,Piece,100,75,108,10800,8100,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
"feelgud jaggery ,900gm",Piece,200,70,60,12000,4200,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
